Nov. 16, 2023   21:20:50
Linear Sweep Voltammetry
File: /home/mkq/documents/data/4/data460\lsv-1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:

Potential/V, Current/A

0.641, 2.080e-2
0.642, 2.102e-2
0.643, 2.126e-2
0.644, 2.150e-2
0.645, 2.176e-2
0.646, 2.201e-2
0.647, 2.225e-2
0.648, 2.249e-2
0.649, 2.273e-2
0.650, 2.297e-2
0.651, 2.322e-2
0.652, 2.346e-2
0.653, 2.370e-2
0.654, 2.395e-2
0.655, 2.419e-2
0.656, 2.444e-2
0.657, 2.468e-2
0.658, 2.492e-2
0.659, 2.517e-2
0.660, 2.542e-2
0.661, 2.567e-2
0.662, 2.592e-2
0.663, 2.616e-2
0.664, 2.642e-2
0.665, 2.667e-2
0.666, 2.692e-2
0.667, 2.719e-2
0.668, 2.744e-2
0.669, 2.770e-2
0.670, 2.796e-2
0.671, 2.822e-2
0.672, 2.848e-2
0.673, 2.874e-2
0.674, 2.900e-2
0.675, 2.926e-2
0.676, 2.953e-2
0.677, 2.980e-2
0.678, 3.007e-2
0.679, 3.033e-2
0.680, 3.060e-2
0.681, 3.087e-2
0.682, 3.114e-2
0.683, 3.142e-2
0.684, 3.170e-2
0.685, 3.197e-2
0.686, 3.225e-2
0.687, 3.253e-2
0.688, 3.281e-2
0.689, 3.308e-2
0.690, 3.338e-2
0.691, 3.368e-2
0.692, 3.398e-2
0.693, 3.427e-2
0.694, 3.455e-2
0.695, 3.484e-2
0.696, 3.515e-2
0.697, 3.545e-2
0.698, 3.573e-2
0.699, 3.603e-2
0.700, 3.633e-2
0.701, 3.665e-2
0.702, 3.696e-2
0.703, 3.726e-2
0.704, 3.756e-2
0.705, 3.786e-2
0.706, 3.817e-2
0.707, 3.847e-2
0.708, 3.877e-2
0.709, 3.908e-2
0.710, 3.938e-2
0.711, 3.969e-2
0.712, 4.001e-2
0.713, 4.031e-2
0.714, 4.063e-2
0.715, 4.096e-2
0.716, 4.127e-2
0.717, 4.158e-2
0.718, 4.190e-2
0.719, 4.220e-2
0.720, 4.252e-2
0.721, 4.284e-2
0.722, 4.316e-2
0.723, 4.349e-2
0.724, 4.384e-2
0.725, 4.420e-2
0.726, 4.453e-2
0.727, 4.484e-2
0.728, 4.516e-2
0.729, 4.549e-2
0.730, 4.581e-2
0.731, 4.614e-2
0.732, 4.647e-2
0.733, 4.680e-2
0.734, 4.714e-2
0.735, 4.748e-2
0.736, 4.781e-2
0.737, 4.812e-2
0.738, 4.844e-2
0.739, 4.879e-2
0.740, 4.914e-2
0.741, 4.948e-2
0.742, 4.982e-2
0.743, 5.016e-2
0.744, 5.051e-2
0.745, 5.088e-2
0.746, 5.122e-2
0.747, 5.157e-2
0.748, 5.191e-2
0.749, 5.225e-2
0.750, 5.260e-2
0.751, 5.295e-2
0.752, 5.329e-2
0.753, 5.362e-2
0.754, 5.397e-2
0.755, 5.432e-2
0.756, 5.467e-2
0.757, 5.504e-2
0.758, 5.541e-2
0.759, 5.576e-2
0.760, 5.613e-2
0.761, 5.650e-2
0.762, 5.685e-2
0.763, 5.722e-2
0.764, 5.759e-2
0.765, 5.793e-2
0.766, 5.829e-2
0.767, 5.865e-2
0.768, 5.904e-2
0.769, 5.939e-2
0.770, 5.972e-2
0.771, 6.006e-2
0.772, 6.048e-2
0.773, 6.089e-2
0.774, 6.128e-2
0.775, 6.165e-2
0.776, 6.201e-2
0.777, 6.238e-2
0.778, 6.276e-2
0.779, 6.312e-2
0.780, 6.347e-2
0.781, 6.386e-2
0.782, 6.428e-2
0.783, 6.465e-2
0.784, 6.500e-2
0.785, 6.537e-2
0.786, 6.574e-2
0.787, 6.612e-2
0.788, 6.651e-2
0.789, 6.695e-2
0.790, 6.737e-2
0.791, 6.773e-2
0.792, 6.810e-2
0.793, 6.851e-2
0.794, 6.893e-2
0.795, 6.932e-2
0.796, 6.969e-2
0.797, 7.006e-2
0.798, 7.046e-2
0.799, 7.084e-2
